manufuct_Id,SKU,SupID,prod_volum,manfuct_lt,manfuct_cost,inspect_resl,def_rate
0,SKU0,0,215,29,46.27987924,Pending,0.226410361
1,SKU1,1,517,30,33.61676895,Pending,4.854068026
2,SKU2,2,971,27,30.68801935,Pending,4.580592619
3,SKU3,3,937,18,35.6247414,Fail,4.746648621
4,SKU4,4,414,3,92.0651606,Fail,3.145579523
5,SKU5,5,104,17,56.76647556,Fail,2.779193512
6,SKU6,6,314,24,1.08506857,Pending,1.000910619
7,SKU7,7,564,1,99.4661086,Fail,0.398177187
8,SKU8,8,769,8,11.42302714,Pending,2.709862691
9,SKU9,9,963,23,47.95760163,Pending,3.844614479
10,SKU10,10,830,5,96.52735279,Pass,1.727313928
11,SKU11,11,362,11,27.59236309,Pending,0.021169821
12,SKU12,12,563,3,32.32128621,Fail,2.161253748
13,SKU13,13,173,10,97.82905011,Pending,1.63107423
14,SKU14,14,558,14,5.79143663,Pending,0.100682852
15,SKU15,15,580,7,97.12128175,Pass,2.264405761
16,SKU16,16,399,21,77.1063425,Pass,1.012563089
17,SKU17,17,453,16,47.67968037,Fail,0.102020755
18,SKU18,18,374,17,27.10798085,Pending,2.231939111
19,SKU19,19,694,16,82.37332059,Fail,3.646450865
20,SKU20,20,309,6,65.68625961,Pass,4.231416574
21,SKU21,21,791,4,61.73572895,Pending,0.018607568
22,SKU22,22,780,28,50.12083961,Fail,2.591275473
23,SKU23,23,568,29,98.60995724,Pending,1.342291563
24,SKU24,24,447,3,40.3823597,Pending,3.691310293
25,SKU25,25,934,23,78.28038312,Pending,3.797231217
26,SKU26,26,171,4,15.97222976,Pass,2.119319737
27,SKU27,27,291,4,10.52824507,Fail,2.864667838
28,SKU28,28,171,7,59.42938181,Fail,0.815757079
29,SKU29,29,329,7,39.29287559,Pass,3.878098937
30,SKU30,30,806,30,51.6348934,Pending,0.965394705
31,SKU31,31,461,8,60.25114566,Pending,2.989000007
32,SKU32,32,737,7,29.69246715,Pass,1.946036119
33,SKU33,33,251,23,23.85342751,Fail,3.541046012
34,SKU34,34,452,10,10.75427282,Pass,0.646604559
35,SKU35,35,367,2,58.00478704,Pass,0.541154098
36,SKU36,36,671,19,45.53136424,Fail,3.805533379
37,SKU37,37,867,15,34.34327747,Pending,2.610288085
38,SKU38,38,841,12,5.930693646,Pending,0.613326899
39,SKU39,39,791,6,9.005807429,Fail,1.451972204
40,SKU40,40,793,1,88.1794071,Pending,4.213269431
41,SKU41,41,892,7,95.33206455,Fail,0.045302262
42,SKU42,42,179,7,96.42282064,Fail,4.939255289
43,SKU43,43,206,23,26.27736596,Pending,0.372304768
44,SKU44,44,834,18,22.55410662,Fail,2.96262632
45,SKU45,45,794,25,66.31254444,Pass,3.219604612
46,SKU46,46,870,23,77.32235321,Pending,3.648610593
47,SKU47,47,964,20,19.71299291,Pending,0.380573587
48,SKU48,48,109,18,23.12636358,Fail,1.698112541
49,SKU49,49,177,28,14.14781544,Pass,2.825813985
50,SKU50,50,306,21,45.17875792,Fail,4.754800805
51,SKU51,51,673,28,14.19032834,Pending,1.772951172
52,SKU52,52,727,27,9.166849149,Pending,2.122471619
53,SKU53,53,631,17,83.34405899,Pending,1.410347576
54,SKU54,54,497,29,30.18602338,Pass,2.478771976
55,SKU55,55,918,5,30.32354526,Fail,4.548919659
56,SKU56,56,826,28,12.83628457,Pass,1.173755495
57,SKU57,57,588,25,67.77962299,Pending,2.51117483
58,SKU58,58,396,7,65.04741509,Fail,1.73037472
59,SKU59,59,176,4,1.900762244,Fail,0.447194015
60,SKU60,60,929,24,87.21305782,Fail,2.853090617
61,SKU61,61,480,12,78.70239397,Fail,4.367470538
62,SKU62,62,751,14,21.04864273,Pass,1.874001404
63,SKU63,63,736,10,20.07500398,Pending,3.63284329
64,SKU64,64,328,6,8.693042426,Fail,0.159486315
65,SKU65,65,358,21,1.597222743,Fail,4.911095955
66,SKU66,3,867,28,42.08443674,Fail,3.448063288
67,SKU67,52,198,11,7.057876147,Pass,0.131955444
68,SKU68,66,375,18,97.11358156,Fail,1.983467872
69,SKU69,67,862,7,77.62776581,Pending,1.362387989
70,SKU70,68,775,16,11.44078182,Pass,1.830575599
71,SKU71,68,258,10,30.66167748,Pending,2.078750608
72,SKU72,69,152,11,55.7604929,Pending,3.213329607
73,SKU73,70,444,4,46.8702388,Fail,4.620546065
74,SKU74,71,919,9,80.58085216,Fail,0.396612724
75,SKU75,72,759,11,48.06478264,Pass,2.030069089
76,SKU76,73,985,24,64.3235978,Pending,2.180037452
77,SKU77,54,334,5,42.95244475,Pass,3.055141818
78,SKU78,27,858,21,71.12651472,Pending,4.096881332
79,SKU79,74,228,12,57.87090292,Pending,0.165871627
80,SKU80,75,202,5,76.96122802,Fail,2.849662199
81,SKU81,76,698,1,19.78959294,Pending,2.547547122
82,SKU82,77,955,26,4.465278435,Pending,4.137877049
83,SKU83,78,443,5,97.7305938,Fail,0.773006134
84,SKU84,79,589,22,33.80863651,Pass,4.843456577
85,SKU85,80,211,2,69.92934552,Fail,1.374429
86,SKU86,81,569,18,74.60897,Pass,2.051512931
87,SKU87,82,523,17,28.69699682,Fail,3.693737788
