Shipping_Id,SKU,SupID,shipping_lt,shipping_carr,shipping_cost,trans_modes,Route,other_cost
0,SKU0,0,4,Carrier B,2.956572139,Road,Route B,187.7520755
1,SKU1,1,2,Carrier A,9.716574771,Road,Route B,503.0655791
2,SKU2,2,2,Carrier B,8.054479262,Air,Route C,141.9202818
3,SKU3,3,6,Carrier C,1.729568564,Rail,Route A,254.7761592
4,SKU4,4,8,Carrier A,3.890547916,Air,Route A,923.4406317
5,SKU5,5,3,Carrier B,4.444098864,Road,Route A,235.4612367
6,SKU6,6,8,Carrier C,3.880763303,Sea,Route A,134.3690969
7,SKU7,7,1,Carrier B,2.348338784,Road,Route C,802.0563118
8,SKU8,8,7,Carrier C,3.404733857,Sea,Route B,505.5571342
9,SKU9,9,1,Carrier A,7.166645291,Rail,Route B,995.9294615
10,SKU10,10,2,Carrier C,8.673211211,Road,Route B,806.1031777
11,SKU11,11,1,Carrier A,4.523943124,Air,Route A,126.7230334
12,SKU12,12,4,Carrier A,1.32527401,Road,Route B,402.9687891
13,SKU13,13,9,Carrier A,9.537283061,Road,Route B,547.2410052
14,SKU14,14,5,Carrier B,2.039770189,Air,Route B,929.23529
15,SKU15,15,7,Carrier B,2.422039723,Sea,Route B,127.8618
16,SKU16,16,1,Carrier B,4.191324586,Air,Route A,865.5257798
17,SKU17,17,9,Carrier C,3.585418958,Air,Route C,670.9343908
18,SKU18,18,8,Carrier C,4.339224714,Sea,Route A,593.4802587
19,SKU19,19,3,Carrier A,4.742635883,Road,Route C,477.3076311
20,SKU20,20,6,Carrier A,8.878334651,Air,Route B,493.8712153
21,SKU21,21,6,Carrier B,6.037883769,Air,Route C,523.3609147
22,SKU22,22,10,Carrier A,9.567648921,Rail,Route C,205.5719958
23,SKU23,23,7,Carrier A,2.924857601,Rail,Route A,196.3294461
24,SKU24,24,8,Carrier C,9.741291689,Air,Route A,758.7247726
25,SKU25,25,3,Carrier C,2.231073681,Road,Route B,458.5359457
26,SKU26,26,4,Carrier B,6.507548621,Rail,Route A,617.8669165
27,SKU27,27,8,Carrier C,7.406750953,Sea,Route B,762.4591822
28,SKU28,28,4,Carrier B,9.898140508,Air,Route A,123.4370275
29,SKU29,29,7,Carrier B,8.100973145,Road,Route B,764.9353759
30,SKU30,30,7,Carrier B,8.954528315,Road,Route C,880.0809882
31,SKU31,31,4,Carrier B,2.679660965,Rail,Route C,609.3792066
32,SKU32,32,4,Carrier C,6.599104901,Road,Route A,761.1739095
33,SKU33,33,9,Carrier C,4.858270503,Sea,Route A,371.2552955
34,SKU34,34,7,Carrier A,1.019487571,Road,Route B,510.3580004
35,SKU35,35,8,Carrier C,5.28818999,Sea,Route C,553.4204712
36,SKU36,36,3,Carrier B,2.107951267,Air,Route C,403.8089742
37,SKU37,37,9,Carrier A,1.532655274,Sea,Route A,183.932968
38,SKU38,38,5,Carrier B,9.235931437,Air,Route B,339.6728699
39,SKU39,39,3,Carrier A,5.562503779,Air,Route B,653.6729946
40,SKU40,40,8,Carrier C,7.22959514,Road,Route A,529.808724
41,SKU41,41,8,Carrier B,5.773263744,Sea,Route A,275.5243711
42,SKU42,42,4,Carrier C,7.526248327,Road,Route A,635.6571205
43,SKU43,43,9,Carrier B,3.694021268,Air,Route A,716.0441198
44,SKU44,44,6,Carrier C,7.577449657,Rail,Route A,610.4532696
45,SKU45,45,6,Carrier B,5.215155009,Rail,Route A,495.305697
46,SKU46,46,8,Carrier B,4.070955837,Road,Route B,380.4359371
47,SKU47,47,9,Carrier B,8.978750756,Rail,Route A,581.6023551
48,SKU48,48,3,Carrier C,7.095833157,Rail,Route B,768.651914
49,SKU49,49,6,Carrier C,2.505621033,Rail,Route A,336.8901685
50,SKU50,50,10,Carrier A,6.247860915,Rail,Route B,496.2486503
51,SKU51,51,1,Carrier A,4.783000558,Road,Route A,694.9823176
