SupID,sup_name,delv_location,Supplier_lt
0,Supplier 3,Mumbai,29
1,Supplier 3,Mumbai,23
2,Supplier 1,Mumbai,12
3,Supplier 5,Kolkata,24
4,Supplier 1,Delhi,5
5,Supplier 4,Bangalore,10
6,Supplier 3,Kolkata,14
7,Supplier 4,Bangalore,22
8,Supplier 4,Mumbai,13
9,Supplier 2,Chennai,29
10,Supplier 5,Kolkata,18
11,Supplier 2,Kolkata,28
12,Supplier 4,Kolkata,3
13,Supplier 5,Bangalore,23
14,Supplier 1,Kolkata,25
15,Supplier 1,Bangalore,14
16,Supplier 1,Bangalore,3
17,Supplier 1,Chennai,7
18,Supplier 2,Kolkata,18
19,Supplier 4,Chennai,20
20,Supplier 1,Chennai,29
21,Supplier 5,Chennai,19
22,Supplier 4,Kolkata,22
23,Supplier 5,Kolkata,11
24,Supplier 2,Bangalore,28
25,Supplier 4,Kolkata,19
26,Supplier 2,Bangalore,26
27,Supplier 5,Mumbai,25
28,Supplier 1,Mumbai,13
29,Supplier 1,Kolkata,16
30,Supplier 4,Kolkata,27
31,Supplier 3,Chennai,24
32,Supplier 3,Kolkata,30
33,Supplier 5,Chennai,1
34,Supplier 1,Chennai,4
35,Supplier 1,Delhi,3
36,Supplier 2,Delhi,26
37,Supplier 3,Kolkata,24
38,Supplier 5,Mumbai,10
39,Supplier 2,Kolkata,30
40,Supplier 1,Kolkata,18
41,Supplier 4,Chennai,18
42,Supplier 5,Bangalore,26
43,Supplier 5,Mumbai,1
44,Supplier 2,Delhi,7
45,Supplier 2,Chennai,25
46,Supplier 3,Chennai,18
47,Supplier 1,Kolkata,10
48,Supplier 2,Mumbai,9
49,Supplier 5,Delhi,28
50,Supplier 2,Delhi,20
51,Supplier 5,Bangalore,18
52,Supplier 1,Mumbai,10
53,Supplier 1,Delhi,1
54,Supplier 1,Kolkata,26
55,Supplier 2,Delhi,27
56,Supplier 1,Mumbai,24
57,Supplier 2,Delhi,21
58,Supplier 3,Delhi,18
59,Supplier 1,Kolkata,11
60,Supplier 4,Mumbai,29
61,Supplier 4,Kolkata,14
62,Supplier 2,Mumbai,13
63,Supplier 3,Bangalore,18
64,Supplier 1,Delhi,17
65,Supplier 5,Kolkata,16
66,Supplier 2,Bangalore,2
67,Supplier 4,Kolkata,9
68,Supplier 1,Bangalore,22
69,Supplier 1,Bangalore,21
70,Supplier 4,Chennai,13
71,Supplier 4,Delhi,1
72,Supplier 1,Chennai,25
73,Supplier 2,Bangalore,25
74,Supplier 3,Bangalore,5
75,Supplier 3,Chennai,8
76,Supplier 3,Delhi,28
77,Supplier 2,Mumbai,6
78,Supplier 1,Bangalore,20
79,Supplier 5,Chennai,24
80,Supplier 5,Chennai,4
81,Supplier 1,Mumbai,4
82,Supplier 3,Chennai,27
83,Supplier 2,Mumbai,21
84,Supplier 1,Kolkata,23
85,Supplier 3,Bangalore,8
86,Supplier 4,Delhi,5
87,Supplier 2,Mumbai,4
88,Supplier 4,Chennai,21
89,Supplier 2,Delhi,12
90,Supplier 4,Mumbai,18
91,Supplier 3,Mumbai,28
92,Supplier 4,Mumbai,10
93,Supplier 5,Chennai,28
